innings_id,match_id,date,tournament,season,fielding_team,innings_number,ambiguous_reason,candidate_ids,candidate_names,resolved_keeper_id,resolved_source,notes
26065,13031,2026-04-18,Pakistan Super League,2026,Rawalpindiz,0,multi_career,"2f26ac1a,c16d4035","Mohammad Rizwan,SW Billings",,,
26071,13034,2026-04-21,Pakistan Super League,2026,Quetta Gladiators,0,no_candidate,,,,,
26074,13035,2026-04-21,Pakistan Super League,2026,Rawalpindiz,1,multi_career,"2f26ac1a,c16d4035","Mohammad Rizwan,SW Billings",,,
26076,13036,2026-04-22,Pakistan Super League,2026,Karachi Kings,1,no_candidate,,,,,
26077,13037,2026-04-22,Pakistan Super League,2026,Hyderabad Kingsmen,0,multi_career,"bafb9238,f21043a5","Usman Khan,MDKJ Perera",,,
26079,13038,2026-04-17,Scotland tour of Namibia,2026,Namibia,0,no_candidate,,,,,
26080,13038,2026-04-17,Scotland tour of Namibia,2026,Scotland,1,no_candidate,,,,,
26081,13039,2026-04-18,Scotland tour of Namibia,2026,Namibia,0,no_candidate,,,,,
26083,13040,2026-04-17,Indian Premier League,2026,Gujarat Titans,0,multi_career,"99b75528,9a46c4e5","JC Buttler,GD Phillips",,,
26085,13041,2026-04-18,Indian Premier League,2026,Delhi Capitals,0,multi_career,"85b3fab2,b17e2f24","T Stubbs,KL Rahul",,,
26091,13044,2026-04-19,Indian Premier League,2026,Lucknow Super Giants,0,multi_career,"3241e3fd,919a3be2","N Pooran,RR Pant",,,
26093,13045,2026-04-20,Indian Premier League,2026,Gujarat Titans,0,multi_career,"99b75528,9a46c4e5","JC Buttler,GD Phillips",,,
26095,13046,2026-04-21,Indian Premier League,2026,Delhi Capitals,0,multi_career,"85b3fab2,b17e2f24","T Stubbs,KL Rahul",,,
26097,13047,2026-04-22,Indian Premier League,2026,Lucknow Super Giants,0,multi_career,"3241e3fd,919a3be2","N Pooran,RR Pant",,,
26115,13056,2026-04-20,United Arab Emirates tour of Nepal,2026,United Arab Emirates,0,no_candidate,,,,,
26117,13057,2026-04-21,United Arab Emirates tour of Nepal,2026,Nepal,0,no_candidate,,,,,
26118,13057,2026-04-21,United Arab Emirates tour of Nepal,2026,United Arab Emirates,1,stump_fielder_unresolved,,,,,
26119,13058,2026-04-23,Pakistan Super League,2026,Rawalpindiz,0,multi_career,"2f26ac1a,c16d4035","Mohammad Rizwan,SW Billings",,,
26121,13059,2026-04-23,Pakistan Super League,2026,Karachi Kings,0,no_candidate,,,,,
26130,13063,2026-04-24,Pakistan Super League,2026,Hyderabad Kingsmen,1,multi_career,"bafb9238,f21043a5","Usman Khan,MDKJ Perera",,,
26131,13064,2026-04-25,Pakistan Super League,2026,Karachi Kings,0,no_candidate,,,,,
26138,13067,2026-04-25,Indian Premier League,2026,Delhi Capitals,1,multi_career,"85b3fab2,b17e2f24","T Stubbs,KL Rahul",,,
26143,13070,2026-04-26,Indian Premier League,2026,Lucknow Super Giants,0,multi_career,"3241e3fd,919a3be2","N Pooran,RR Pant",,,
