innings_id,match_id,date,tournament,season,fielding_team,innings_number,ambiguous_reason,candidate_ids,candidate_names,resolved_keeper_id,resolved_source,notes
26015,13006,2026-04-12,Indian Premier League,2026,Gujarat Titans,0,multi_career,"99b75528,9a46c4e5","JC Buttler,GD Phillips",,,
26016,13006,2026-04-12,Indian Premier League,2026,Lucknow Super Giants,1,multi_career,"3241e3fd,919a3be2","N Pooran,RR Pant",,,
26031,13014,2026-04-12,Pakistan Super League,2026,Hyderabad Kingsmen,0,multi_career,"bafb9238,f21043a5","Usman Khan,MDKJ Perera",,,
26007,13002,2026-04-11,Pakistan Super League,2026,Hyderabad Kingsmen,0,multi_career,"bafb9238,f21043a5","Usman Khan,MDKJ Perera",,,
26013,13005,2026-04-11,Indian Premier League,2026,Delhi Capitals,0,multi_career,"85b3fab2,b17e2f24","T Stubbs,KL Rahul",,,
26003,13000,2026-04-10,Pakistan Super League,2026,Rawalpindiz,0,multi_career,"2f26ac1a,c16d4035","Mohammad Rizwan,SW Billings",,,
25991,12994,2026-04-09,Indian Premier League,2026,Lucknow Super Giants,0,multi_career,"3241e3fd,919a3be2","N Pooran,RR Pant",,,
25896,12945,2026-04-08,Pakistan Super League,2026,Hyderabad Kingsmen,1,multi_career,"bafb9238,f21043a5","Usman Khan,MDKJ Perera",,,
25910,12953,2026-04-08,Indian Premier League,2026,Delhi Capitals,0,multi_career,"85b3fab2,b17e2f24","T Stubbs,KL Rahul",,,
25911,12953,2026-04-08,Indian Premier League,2026,Gujarat Titans,1,multi_career,"99b75528,9a46c4e5","JC Buttler,GD Phillips",,,
25894,12944,2026-04-06,Pakistan Super League,2026,Rawalpindiz,1,multi_career,"2f26ac1a,c16d4035","Mohammad Rizwan,SW Billings",,,
25903,12949,2026-04-05,Indian Premier League,2026,Lucknow Super Giants,0,multi_career,"3241e3fd,919a3be2","N Pooran,RR Pant",,,
25890,12942,2026-04-04,Pakistan Super League,2026,Rawalpindiz,1,multi_career,"2f26ac1a,c16d4035","Mohammad Rizwan,SW Billings",,,
25899,12947,2026-04-04,Indian Premier League,2026,Delhi Capitals,0,multi_career,"85b3fab2,b17e2f24","T Stubbs,KL Rahul",,,
25901,12948,2026-04-04,Indian Premier League,2026,Gujarat Titans,0,multi_career,"99b75528,9a46c4e5","JC Buttler,GD Phillips",,,
