innings_id,match_id,date,tournament,season,fielding_team,innings_number,ambiguous_reason,candidate_ids,candidate_names,resolved_keeper_id,resolved_source,notes
26422,13207,2026-05-22,ICC Men's T20 World Cup Sub Regional Europe Qualifier A,2026,France,1,no_candidate,,,,,
26431,13212,2026-05-22,Vitality Blast,2026,Sussex,0,multi_career,"961b8ff1,f05fe9b1","TP Alsop,JA Simpson",,,
26433,13213,2026-05-22,Vitality Blast,2026,Lancashire,0,multi_career,"40e4cf47,c41043e6","MF Hurst,BR McDermott",,,
26437,13215,2026-05-22,Vitality Blast,2026,Derbyshire,0,no_candidate,,,,,
26440,13216,2026-05-22,Vitality Blast,2026,Hampshire,1,no_candidate,,,,,
26442,13217,2026-05-22,Vitality Blast,2026,Northamptonshire,1,multi_career,"6feb46a4,efe3fcc5","LD McManus,R Vasconcelos",,,
26446,13219,2026-05-22,Vitality Blast,2026,Nottinghamshire,1,multi_career,"2eca67f5,85dcb721","JM Clarke,TJ Moores",,,
26456,13224,2026-05-24,Vitality Blast,2026,Derbyshire,1,no_candidate,,,,,
26460,13226,2026-05-24,Vitality Blast,2026,Northamptonshire,1,multi_career,"6feb46a4,efe3fcc5","LD McManus,R Vasconcelos",,,
26461,13227,2026-05-25,Vitality Blast,2026,Nottinghamshire,0,multi_career,"2eca67f5,85dcb721","JM Clarke,TJ Moores",,,
26462,13227,2026-05-25,Vitality Blast,2026,Lancashire,1,multi_career,"40e4cf47,c41043e6","MF Hurst,BR McDermott",,,
26464,13228,2026-05-25,Vitality Blast,2026,Sussex,1,multi_career,"961b8ff1,f05fe9b1","TP Alsop,JA Simpson",,,
26465,13229,2026-05-22,Vitality Blast Women,2026,Essex,0,no_candidate,,,,,
26466,13229,2026-05-22,Vitality Blast Women,2026,Warwickshire,1,multi_career,"1ec1998e,324b9eee","NAJ Wraith,G Redmayne",,,
26476,13234,2026-05-24,Vitality Blast Women,2026,Warwickshire,1,multi_career,"1ec1998e,324b9eee","NAJ Wraith,G Redmayne",,,
26484,13238,2026-05-23,Indian Premier League,2026,Lucknow Super Giants,1,multi_career,"3241e3fd,919a3be2,989889ff","N Pooran,RR Pant,JP Inglis",,,
26487,13240,2026-05-24,Indian Premier League,2026,Kolkata Knight Riders,0,no_candidate,,,,,
26489,13241,2026-05-22,ICC Men's T20 World Cup Sub Regional Europe Qualifier A,2026,Cyprus,0,no_candidate,,,,,
26492,13242,2026-05-22,ICC Men's T20 World Cup Sub Regional Europe Qualifier A,2026,Slovenia,1,no_candidate,,,,,
26494,13243,2026-05-23,ICC Men's T20 World Cup Sub Regional Europe Qualifier A,2026,France,1,no_candidate,,,,,
26505,13249,2026-05-23,ICC Men's T20 World Cup Sub Regional Africa Qualifier,2026,Mali,0,no_candidate,,,,,
26507,13250,2026-05-24,ICC Men's T20 World Cup Sub Regional Africa Qualifier,2026,Ivory Coast,0,no_candidate,,,,,
26510,13251,2026-05-24,ICC Men's T20 World Cup Sub Regional Africa Qualifier,2026,Mali,1,no_candidate,,,,,
26514,13253,2026-05-25,ICC Men's T20 World Cup Sub Regional Africa Qualifier,2026,Kenya,1,multi_career,"612a395c,ca92a578","S Singh,IA Karim",,,
26517,13255,2026-05-25,ICC Men's T20 World Cup Sub Regional Africa Qualifier,2026,Mali,0,no_candidate,,,,,
26518,13255,2026-05-25,ICC Men's T20 World Cup Sub Regional Africa Qualifier,2026,Ivory Coast,1,no_candidate,,,,,
26520,13256,2026-05-26,ICC Men's T20 World Cup Sub Regional Africa Qualifier,2026,Mali,1,no_candidate,,,,,
