innings_id,match_id,date,tournament,season,fielding_team,innings_number,ambiguous_reason,candidate_ids,candidate_names,resolved_keeper_id,resolved_source,notes
25889,12942,2026-04-04,Pakistan Super League,2026,Islamabad United,0,no_candidate,,,,,
25897,12946,2026-04-03,Indian Premier League,2026,Punjab Kings,0,no_candidate,,,,,
25898,12946,2026-04-03,Indian Premier League,2026,Chennai Super Kings,1,no_candidate,,,,,
25900,12947,2026-04-04,Indian Premier League,2026,Mumbai Indians,1,no_candidate,,,,,
25902,12948,2026-04-04,Indian Premier League,2026,Rajasthan Royals,1,no_candidate,,,,,
25905,12950,2026-04-05,Indian Premier League,2026,Chennai Super Kings,0,no_candidate,,,,,
25907,12951,2026-04-06,Indian Premier League,2026,Punjab Kings,0,no_candidate,,,,,
25908,12952,2026-04-07,Indian Premier League,2026,Mumbai Indians,0,no_candidate,,,,,
25909,12952,2026-04-07,Indian Premier League,2026,Rajasthan Royals,1,no_candidate,,,,,
25931,12963,2026-04-06,BCA Kalahari Women's T20 International Tournament,2026,Mozambique,1,no_candidate,,,,,
25951,12973,2026-04-02,Central American Cricket Championships,2026,Mexico,1,no_candidate,,,,,
25958,12977,2026-04-04,Central American Cricket Championships,2026,Mexico,0,no_candidate,,,,,
25963,12979,2026-04-03,Greece Women tour of Cyprus,2026,Cyprus,1,no_candidate,,,,,
25965,12980,2026-04-03,Greece Women tour of Cyprus,2026,Cyprus,1,no_candidate,,,,,
25967,12981,2026-04-04,Greece Women tour of Cyprus,2026,Cyprus,1,no_candidate,,,,,
25970,12983,2026-04-05,Greece Women tour of Cyprus,2026,Cyprus,1,no_candidate,,,,,
25972,12984,2026-04-05,Greece Women tour of Cyprus,2026,Cyprus,1,no_candidate,,,,,
25977,12987,2026-04-09,Pakistan Super League,2026,Islamabad United,0,no_candidate,,,,,
25988,12992,2026-04-09,Sweden tour of Indonesia,2026,Sweden,1,no_candidate,,,,,
26004,13000,2026-04-10,Pakistan Super League,2026,Quetta Gladiators,1,no_candidate,,,,,
26009,13003,2026-04-10,Indian Premier League,2026,Rajasthan Royals,0,no_candidate,,,,,
26011,13004,2026-04-11,Indian Premier League,2026,Punjab Kings,0,no_candidate,,,,,
26014,13005,2026-04-11,Indian Premier League,2026,Chennai Super Kings,1,no_candidate,,,,,
26032,13014,2026-04-12,Pakistan Super League,2026,Islamabad United,1,no_candidate,,,,,
26033,13015,2026-04-12,Indian Premier League,2026,Mumbai Indians,0,no_candidate,,,,,
26041,13019,2026-04-13,Indian Premier League,2026,Rajasthan Royals,0,no_candidate,,,,,
26043,13020,2026-04-14,Indian Premier League,2026,Kolkata Knight Riders,0,no_candidate,,,,,
26044,13020,2026-04-14,Indian Premier League,2026,Chennai Super Kings,1,no_candidate,,,,,
26046,13021,2026-04-15,Pakistan Super League,2026,Quetta Gladiators,1,no_candidate,,,,,
26047,13022,2026-04-16,Pakistan Super League,2026,Hyderabad Kingsmen,0,no_candidate,,,,,
26048,13022,2026-04-16,Pakistan Super League,2026,Rawalpindiz,1,no_candidate,,,,,
26049,13023,2026-04-16,Pakistan Super League,2026,Islamabad United,0,no_candidate,,,,,
26051,13024,2026-04-15,Scotland tour of Namibia,2026,Scotland,0,no_candidate,,,,,
26052,13024,2026-04-15,Scotland tour of Namibia,2026,Namibia,1,no_candidate,,,,,
26054,13025,2026-04-15,Indian Premier League,2026,Lucknow Super Giants,1,no_candidate,,,,,
26055,13026,2026-04-16,Indian Premier League,2026,Punjab Kings,0,no_candidate,,,,,
26056,13026,2026-04-16,Indian Premier League,2026,Mumbai Indians,1,no_candidate,,,,,
