innings_id,match_id,date,tournament,season,fielding_team,innings_number,ambiguous_reason,candidate_ids,candidate_names,resolved_keeper_id,resolved_source,notes
26082,13039,2026-04-18,Scotland tour of Namibia,2026,Scotland,1,no_candidate,,,,,
26092,13044,2026-04-19,Indian Premier League,2026,Punjab Kings,1,no_candidate,,,,,
26103,13050,2026-04-19,ICC Women's T20I Challenge Trophy,2026,Vanuatu,0,no_candidate,,,,,
26110,13053,2026-04-21,ICC Women's T20I Challenge Trophy,2026,Vanuatu,1,no_candidate,,,,,
26113,13055,2026-04-22,ICC Women's T20I Challenge Trophy,2026,Vanuatu,0,no_candidate,,,,,
26116,13056,2026-04-20,United Arab Emirates tour of Nepal,2026,Nepal,1,no_candidate,,,,,
26120,13058,2026-04-23,Pakistan Super League,2026,Islamabad United,1,no_candidate,,,,,
26126,13061,2026-04-24,ICC Women's T20I Challenge Trophy,2026,Vanuatu,1,no_candidate,,,,,
26129,13063,2026-04-24,Pakistan Super League,2026,Islamabad United,0,no_candidate,,,,,
26136,13066,2026-04-24,Indian Premier League,2026,Gujarat Titans,1,no_candidate,,,,,
26137,13067,2026-04-25,Indian Premier League,2026,Punjab Kings,0,no_candidate,,,,,
26141,13069,2026-04-26,Indian Premier League,2026,Gujarat Titans,0,no_candidate,,,,,
26151,13073,2026-04-26,Pakistan Super League,2026,Rawalpindiz,0,no_candidate,,,,,
26152,13073,2026-04-26,Pakistan Super League,2026,Hyderabad Kingsmen,1,no_candidate,,,,,
26153,13074,2026-04-26,Pakistan Super League,2026,Islamabad United,0,no_candidate,,,,,
26155,13075,2026-04-27,New Zealand tour of Bangladesh,2026,Bangladesh,0,no_candidate,,,,,
26156,13075,2026-04-27,New Zealand tour of Bangladesh,2026,New Zealand,1,no_candidate,,,,,
26158,13076,2026-04-27,Indian Premier League,2026,Delhi Capitals,1,no_candidate,,,,,
26159,13077,2026-04-26,ICC Women's T20I Challenge Trophy,2026,Vanuatu,0,no_candidate,,,,,
26160,13077,2026-04-26,ICC Women's T20I Challenge Trophy,2026,Rwanda,1,multi_season,"14f0a5e3,7d6ce83f","F Irakoze,M Uwase",,,
26162,13078,2026-04-26,ICC Women's T20I Challenge Trophy,2026,Nepal,1,multi_season,"05d9faac,4e38a3d6","Roma Thapa,R Poddar",,,
26165,13080,2026-04-27,ICC Women's T20I Challenge Trophy,2026,Vanuatu,0,no_candidate,,,,,
26167,13081,2026-04-28,Pakistan Super League,2026,Islamabad United,0,no_candidate,,,,,
26172,13083,2026-04-28,Indian Premier League,2026,Punjab Kings,1,no_candidate,,,,,
26174,13084,2026-04-28,ICC Women's T20I Challenge Trophy,2026,Nepal,1,multi_season,"05d9faac,4e38a3d6","Roma Thapa,R Poddar",,,
26176,13085,2026-04-28,ICC Women's T20I Challenge Trophy,2026,Vanuatu,1,no_candidate,,,,,
26177,13086,2026-04-25,Chile Women tour of Costa Rica,2026,Costa Rica,0,no_candidate,,,,,
26178,13086,2026-04-25,Chile Women tour of Costa Rica,2026,Chile,1,no_candidate,,,,,
26179,13087,2026-04-26,Chile Women tour of Costa Rica,2026,Costa Rica,0,no_candidate,,,,,
26180,13087,2026-04-26,Chile Women tour of Costa Rica,2026,Chile,1,no_candidate,,,,,
26181,13088,2026-04-29,Pakistan Super League,2026,Hyderabad Kingsmen,0,no_candidate,,,,,
26186,13090,2026-04-29,Indian Premier League,2026,Mumbai Indians,1,no_candidate,,,,,
26189,13092,2026-04-30,ICC Women's T20I Challenge Trophy,2026,Vanuatu,0,no_candidate,,,,,
