innings_id,match_id,date,tournament,season,fielding_team,innings_number,ambiguous_reason,candidate_ids,candidate_names,resolved_keeper_id,resolved_source,notes
26579,13286,2026-05-30,India Women tour of England,2026,India,0,multi_career,"721e0199,9c3d4e8a","RM Ghosh,YH Bhatia",,,
26584,13288,2026-05-29,Vitality Blast,2026,Lancashire,1,multi_career,"40e4cf47,c41043e6","MF Hurst,BR McDermott",,,
26587,13290,2026-05-29,Vitality Blast,2026,Nottinghamshire,0,multi_career,"2eca67f5,85dcb721","JM Clarke,TJ Moores",,,
26588,13290,2026-05-29,Vitality Blast,2026,Derbyshire,1,no_candidate,,,,,
26597,13295,2026-05-30,Vitality Blast,2026,Sussex,0,multi_career,"961b8ff1,f05fe9b1","TP Alsop,JA Simpson",,,
26600,13296,2026-05-31,Vitality Blast,2026,Derbyshire,1,no_candidate,,,,,
26602,13297,2026-05-31,Vitality Blast,2026,Warwickshire,1,no_candidate,,,,,
26609,13301,2026-05-31,Vitality Blast,2026,Nottinghamshire,0,multi_career,"2eca67f5,85dcb721","JM Clarke,TJ Moores",,,
26620,13306,2026-05-29,Ireland Tri-Nation Women's T20I Series,2026,West Indies,1,no_candidate,,,,,
26626,13309,2026-05-30,ICC Men's T20 World Cup Sub Regional Africa Qualifier,2026,Ivory Coast,1,no_candidate,,,,,
26634,13313,2026-05-30,Scotland Women's T20I Tri-Series,2026,Bangladesh,1,multi_career,"3827f6a2,f2670a3d","Nigar Sultana,Dilara Akter",,,
26635,13314,2026-05-31,Scotland Women's T20I Tri-Series,2026,Bangladesh,0,multi_career,"3827f6a2,f2670a3d","Nigar Sultana,Dilara Akter",,,
26645,13319,2026-05-31,Asian Games Men's Qualifier,2026,China,0,no_candidate,,,,,
26647,13320,2026-06-01,Asian Games Men's Qualifier,2026,Singapore,0,no_candidate,,,,,
26648,13320,2026-06-01,Asian Games Men's Qualifier,2026,Oman,1,no_candidate,,,,,
26650,13321,2026-06-01,Asian Games Men's Qualifier,2026,Bahrain,1,no_candidate,,,,,
26658,13325,2026-06-02,India Women tour of England,2026,India,1,multi_career,"721e0199,9c3d4e8a","RM Ghosh,YH Bhatia",,,
26661,13327,2026-06-02,Cricket Ireland Inter-Provincial Twenty20 Trophy,2026,North-West Warriors,0,no_candidate,,,,,
26664,13328,2026-06-02,Scotland Women's T20I Tri-Series,2026,Bangladesh,1,multi_career,"3827f6a2,f2670a3d","Nigar Sultana,Dilara Akter",,,
26665,13329,2026-06-02,Eswatini T20 Tri-Series,2026,Lesotho,0,multi_team_ever,"70841eab,d08fe309","C Tlali,TG Thamae",,,
26667,13330,2026-06-02,Asian Games Men's Qualifier,2026,Malaysia,0,multi_career,"1f13eba1,415d30b6,6667067e","Muhammad Haziq Aiman,Virandeep Singh,Syed Aziz",,,
26668,13330,2026-06-02,Asian Games Men's Qualifier,2026,China,1,no_candidate,,,,,
