innings_id,match_id,date,tournament,season,fielding_team,innings_number,ambiguous_reason,candidate_ids,candidate_names,resolved_keeper_id,resolved_source,notes
26669,13331,2026-06-02,Vitality Blast,2026,Sussex,0,multi_career,"961b8ff1,f05fe9b1","TP Alsop,JA Simpson",,,
26673,13333,2026-06-04,Vitality Blast,2026,Glamorgan,0,no_candidate,,,,,
26675,13334,2026-06-05,Vitality Blast,2026,Lancashire,0,multi_career,"40e4cf47,c41043e6","MF Hurst,BR McDermott",,,
26679,13336,2026-06-05,Vitality Blast,2026,Leicestershire,0,multi_career,"324a6ee1,793977d8","OB Cox,JA Tattersall",,,
26680,13336,2026-06-05,Vitality Blast,2026,Sussex,1,multi_career,"961b8ff1,f05fe9b1","TP Alsop,JA Simpson",,,
26690,13341,2026-06-07,Vitality Blast,2026,Lancashire,1,multi_career,"40e4cf47,c41043e6","MF Hurst,BR McDermott",,,
26693,13343,2026-06-07,Vitality Blast,2026,Sussex,0,multi_career,"961b8ff1,f05fe9b1","TP Alsop,JA Simpson",,,
26699,13346,2026-06-07,Vitality Blast,2026,Derbyshire,0,no_candidate,,,,,
26702,13347,2026-06-07,Vitality Blast,2026,Leicestershire,1,multi_career,"324a6ee1,793977d8","OB Cox,JA Tattersall",,,
26705,13349,2026-06-05,Vitality Blast Women,2026,Surrey,0,multi_season,"6ffbf04c,79dd743c","KM Chathli,J Spence",,,
26707,13350,2026-06-05,Vitality Blast Women,2026,Warwickshire,0,multi_season,"1ec1998e,c6da6ebf","NAJ Wraith,AJ Freeborn",,,
26712,13352,2026-06-07,Vitality Blast Women,2026,Warwickshire,1,multi_season,"1ec1998e,c6da6ebf","NAJ Wraith,AJ Freeborn",,,
26728,13361,2026-06-03,Asian Cricket Council Women's Premier Cup,2026,Mongolia,1,no_candidate,,,,,
26733,13364,2026-06-03,Asian Cricket Council Women's Premier Cup,2026,China,0,no_candidate,,,,,
26747,13371,2026-06-04,Asian Cricket Council Women's Premier Cup,2026,Mongolia,0,no_candidate,,,,,
26757,13376,2026-06-06,Asian Cricket Council Women's Premier Cup,2026,China,0,no_candidate,,,,,
26763,13379,2026-06-06,Asian Cricket Council Women's Premier Cup,2026,Mongolia,0,no_candidate,,,,,
26773,13384,2026-06-07,Asian Cricket Council Women's Premier Cup,2026,China,0,no_candidate,,,,,
26781,13388,2026-06-09,Asian Cricket Council Women's Premier Cup,2026,Mongolia,0,no_candidate,,,,,
26785,13390,2026-06-09,Asian Cricket Council Women's Premier Cup,2026,China,0,no_candidate,,,,,
26789,13392,2026-06-04,Eswatini T20 Tri-Series,2026,Lesotho,0,multi_team_ever,"70841eab,d08fe309","C Tlali,TG Thamae",,,
26792,13393,2026-06-04,Eswatini T20 Tri-Series,2026,Lesotho,1,multi_team_ever,"70841eab,d08fe309","C Tlali,TG Thamae",,,
26795,13395,2026-06-06,Eswatini T20 Tri-Series,2026,Lesotho,0,multi_team_ever,"70841eab,d08fe309","C Tlali,TG Thamae",,,
26798,13396,2026-06-07,Eswatini T20 Tri-Series,2026,Lesotho,1,multi_team_ever,"70841eab,d08fe309","C Tlali,TG Thamae",,,
26801,13398,2026-06-03,Asian Games Men's Qualifier,2026,Bahrain,0,no_candidate,,,,,
26802,13398,2026-06-03,Asian Games Men's Qualifier,2026,Oman,1,no_candidate,,,,,
26804,13399,2026-06-03,Asian Games Men's Qualifier,2026,Singapore,1,no_candidate,,,,,
26807,13401,2026-06-05,Asian Games Men's Qualifier,2026,Singapore,0,no_candidate,,,,,
26808,13401,2026-06-05,Asian Games Men's Qualifier,2026,Bahrain,1,no_candidate,,,,,
26809,13402,2026-06-05,Asian Games Men's Qualifier,2026,Oman,0,no_candidate,,,,,
26812,13403,2026-06-07,Asian Games Men's Qualifier,2026,Oman,1,no_candidate,,,,,
26815,13405,2026-06-08,Asian Games Men's Qualifier,2026,Malaysia,0,multi_career,"415d30b6,6667067e","Virandeep Singh,Syed Aziz",,,
26816,13405,2026-06-08,Asian Games Men's Qualifier,2026,Oman,1,no_candidate,,,,,
26865,13430,2026-06-12,Viking Cup,2026,Austria,0,multi_team_ever,"97181d1b,b17d629e","MPS Cheema,Shadnan Khan",,,
26879,13437,2026-06-12,Kwibuka Women's Twenty20 Tournament,2026,Malawi,0,multi_season,"4e193c55,7e421645","E Chiralile,A Lumbe",,,
26884,13439,2026-06-14,Kwibuka Women's Twenty20 Tournament,2026,Malawi,1,multi_season,"4e193c55,7e421645","E Chiralile,A Lumbe",,,
26887,13441,2026-06-15,Kwibuka Women's Twenty20 Tournament,2026,Malawi,0,multi_season,"4e193c55,7e421645","E Chiralile,A Lumbe",,,
26890,13442,2026-06-14,Guernsey Women tour of Jersey,2026,Jersey,1,no_candidate,,,,,
26892,13443,2026-06-14,Guernsey Women tour of Jersey,2026,Jersey,1,no_candidate,,,,,
26942,13468,2026-06-26,Vitality Blast,2026,Warwickshire,1,no_candidate,,,,,
26946,13470,2026-06-26,Vitality Blast,2026,Sussex,1,multi_career,"961b8ff1,f05fe9b1","TP Alsop,JA Simpson",,,
26948,13471,2026-06-26,Vitality Blast,2026,Somerset,1,multi_career,"25f7b7d6,f836b33d","T Banton,T Kohler-Cadmore",,,
26953,13474,2026-06-26,Vitality Blast,2026,Lancashire,0,multi_career,"3d284ca3,99b75528,c41043e6","PD Salt,JC Buttler,BR McDermott",,,
26956,13475,2026-06-26,Vitality Blast,2026,Yorkshire,1,multi_career,"abb83e27,f4427cc6","JM Bairstow,SM Whiteman",,,
26957,13476,2026-06-28,Vitality Blast,2026,Yorkshire,0,multi_career,"abb83e27,f4427cc6","JM Bairstow,SM Whiteman",,,
26958,13476,2026-06-28,Vitality Blast,2026,Derbyshire,1,no_candidate,,,,,
26965,13480,2026-06-28,Vitality Blast,2026,Somerset,0,multi_career,"25f7b7d6,f836b33d","T Banton,T Kohler-Cadmore",,,
26974,13484,2026-06-28,Vitality Blast Women,2026,Essex,1,no_candidate,,,,,
