innings_id,match_id,date,tournament,season,fielding_team,innings_number,ambiguous_reason,candidate_ids,candidate_names,resolved_keeper_id,resolved_source,notes
27162,13578,2026-07-01,Vitality Blast,2026,Warwickshire,1,no_candidate,,,,,
27164,13579,2026-07-01,Vitality Blast,2026,Lancashire,1,multi_career,"40e4cf47,c41043e6","MF Hurst,BR McDermott",,,
27167,13581,2026-07-01,Vitality Blast Women,2026,Warwickshire,0,multi_season,"1ec1998e,c6da6ebf","NAJ Wraith,AJ Freeborn",,,
27168,13581,2026-07-01,Vitality Blast Women,2026,Essex,1,no_candidate,,,,,
27171,13583,2026-07-01,Major League Cricket,2026,Washington Freedom,0,multi_career,"d1305df0,dcabd6bc","AGS Gous,BKEL Milantha",,,
27173,13584,2026-07-02,Major League Cricket,2026,Seattle Orcas,0,multi_career,"4663bd23,571e1d2a","TL Seifert,Shayan Jahangir",,,
27191,13592,2026-07-11,India tour of England,2026,India,0,multi_career,"752f7486,a4cc73aa","Ishan Kishan,SV Samson",,,
27198,13595,2026-07-05,Vitality Blast,2026,Warwickshire,1,no_candidate,,,,,
27200,13596,2026-07-05,Vitality Blast,2026,Yorkshire,1,multi_career,"abb83e27,f4427cc6","JM Bairstow,SM Whiteman",,,
27207,13600,2026-07-06,Vitality Blast,2026,Lancashire,0,multi_career,"40e4cf47,c41043e6","MF Hurst,BR McDermott",,,
27223,13608,2026-07-10,Vitality Blast,2026,Warwickshire,0,no_candidate,,,,,
27226,13609,2026-07-10,Vitality Blast,2026,Lancashire,1,multi_career,"40e4cf47,c41043e6","MF Hurst,BR McDermott",,,
27239,13616,2026-07-03,Vitality Blast Women,2026,Somerset,0,no_candidate,,,,,
27243,13618,2026-07-05,Vitality Blast Women,2026,Essex,0,no_candidate,,,,,
27244,13618,2026-07-05,Vitality Blast Women,2026,Surrey,1,multi_season,"6ffbf04c,79dd743c","KM Chathli,J Spence",,,
27246,13619,2026-07-05,Vitality Blast Women,2026,The Blaze,1,multi_season,"2ca65aee,d8c6a647","SJ Bryce,E Claridge",,,
27251,13622,2026-07-07,Vitality Blast Women,2026,Somerset,0,no_candidate,,,,,
27252,13622,2026-07-07,Vitality Blast Women,2026,Essex,1,no_candidate,,,,,
27253,13623,2026-07-08,Vitality Blast Women,2026,Surrey,0,multi_season,"6ffbf04c,79dd743c","KM Chathli,J Spence",,,
27254,13623,2026-07-08,Vitality Blast Women,2026,Warwickshire,1,multi_season,"1ec1998e,c6da6ebf","NAJ Wraith,AJ Freeborn",,,
27261,13627,2026-07-10,Vitality Blast Women,2026,Lancashire,0,no_candidate,,,,,
27264,13628,2026-07-10,Vitality Blast Women,2026,Somerset,1,no_candidate,,,,,
27269,13631,2026-07-12,Vitality Blast Women,2026,Surrey,0,multi_season,"6ffbf04c,79dd743c","KM Chathli,J Spence",,,
27270,13631,2026-07-12,Vitality Blast Women,2026,Hampshire,1,no_candidate,,,,,
27273,13633,2026-07-04,Major League Cricket,2026,Washington Freedom,0,multi_career,"d1305df0,dcabd6bc","AGS Gous,BKEL Milantha",,,
27278,13635,2026-07-05,Major League Cricket,2026,Seattle Orcas,1,multi_career,"4663bd23,571e1d2a","TL Seifert,Shayan Jahangir",,,
27283,13638,2026-07-09,Major League Cricket,2026,Washington Freedom,0,multi_career,"d1305df0,dcabd6bc","AGS Gous,BKEL Milantha",,,
27285,13639,2026-07-10,Major League Cricket,2026,Seattle Orcas,0,multi_career,"4663bd23,571e1d2a","TL Seifert,Shayan Jahangir",,,
27286,13639,2026-07-10,Major League Cricket,2026,MI New York,1,multi_career,"25d7f1ac,3241e3fd,e66732f8","MD Patel,N Pooran,RD Rickelton",,,
27289,13641,2026-07-11,Major League Cricket,2026,Washington Freedom,0,multi_career,"d1305df0,dcabd6bc","AGS Gous,BKEL Milantha",,,
27292,13642,2026-07-11,Major League Cricket,2026,Seattle Orcas,1,multi_career,"4663bd23,571e1d2a","TL Seifert,Shayan Jahangir",,,
27293,13643,2026-07-03,Portugal tour of Finland,2026,Finland,0,no_candidate,,,,,
27295,13644,2026-07-04,Portugal tour of Finland,2026,Finland,0,no_candidate,,,,,
27301,13647,2026-07-08,ICC Men's T20 World Cup Sub Regional Europe Qualifier B,2026,Romania,0,no_candidate,,,,,
27307,13650,2026-07-10,ICC Men's T20 World Cup Sub Regional Europe Qualifier B,2026,Romania,0,no_candidate,,,,,
27314,13653,2026-07-10,ICC Men's T20 World Cup Sub Regional Europe Qualifier B,2026,Turkey,1,no_candidate,,,,,
27317,13655,2026-07-12,ICC Men's T20 World Cup Sub Regional Europe Qualifier B,2026,Romania,0,no_candidate,,,,,
27319,13656,2026-07-10,Switzerland Women tour of Germany,2026,Switzerland,0,multi_season,"07c1fd15,74d9909b","F Kuenburg,Ananya Srinivasan",,,
27325,13659,2026-07-11,Switzerland Women tour of Germany,2026,Switzerland,0,multi_season,"07c1fd15,74d9909b","F Kuenburg,Ananya Srinivasan",,,
27329,13661,2026-07-12,Vitality Blast,2026,Lancashire,0,multi_career,"3d284ca3,40e4cf47,c41043e6","PD Salt,MF Hurst,BR McDermott",,,
27341,13667,2026-07-12,Vitality Blast,2026,Warwickshire,0,no_candidate,,,,,
27347,13670,2026-07-12,Vitality Blast Women,2026,Somerset,0,no_candidate,,,,,
27349,13671,2026-07-12,Major League Cricket,2026,Washington Freedom,0,multi_career,"d1305df0,dcabd6bc","AGS Gous,BKEL Milantha",,,
27359,13676,2026-07-03,Vitality Blast,2026,Yorkshire,0,multi_career,"abb83e27,f4427cc6","JM Bairstow,SM Whiteman",,,
27362,13677,2026-07-03,Vitality Blast,2026,Warwickshire,1,no_candidate,,,,,
27365,13679,2026-07-03,Vitality Blast,2026,Lancashire,0,multi_career,"40e4cf47,c41043e6","MF Hurst,BR McDermott",,,
27386,13689,2026-07-17,Vitality Blast Women,2026,Surrey,1,multi_season,"6ffbf04c,79dd743c","KM Chathli,J Spence",,,
27398,13695,2026-07-24,The Hundred Women's Competition,2026,Birmingham Phoenix,1,multi_career,"79dd743c,b2664905","J Spence,TT Beaumont",,,
27410,13701,2026-07-21,The Hundred Men's Competition,2026,Sunrisers Leeds,1,multi_career,"961b8ff1,e66732f8","TP Alsop,RD Rickelton",,,
27411,13702,2026-07-22,The Hundred Men's Competition,2026,Welsh Fire,0,multi_career,"3d284ca3,ff154ecd","PD Salt,JM Cox",,,
27412,13702,2026-07-22,The Hundred Men's Competition,2026,Southern Brave,1,multi_career,"85b3fab2,c834c290","T Stubbs,JL Smith",,,
27413,13703,2026-07-23,The Hundred Men's Competition,2026,London Spirit,0,no_candidate,,,,,
27415,13704,2026-07-24,The Hundred Men's Competition,2026,Trent Rockets,0,multi_career,"25f7b7d6,c16d4035","T Banton,SW Billings",,,
